14,644
14,658
14,672
14,686
14,7
14,714
14,728
14,742
14,756
14,77
14,784
14,798
14,812
14,826
14,84
14,854
14,868
14,882
14,896
14,91
14,924
14,938
14,952
14,966
14,98
14,994
15,008
15,022
15,036
15,05
15,064
15,078
15,092
15,106
15,12
15,134
15,148
15,162
15,176
15,19
15,204
15,218
15,232
15,246
15,26
15,274
15,288
15,302
15,316
15,33
15,344
15,358
15,372
15,386
15,4
15,414
15,428
15,442
15,456
15,47
15,484
15,498
15,512
15,526
15,54
15,554
15,568
15,582
15,596
15,61
15,624
15,638
15,652
15,666
15,68
15,694
15,708
15,722
15,736
15,75
15,764
15,778
15,792
15,806
15,82
15,834
15,848
15,862
15,876
15,89
15,904
15,918
15,932
15,946
15,96
15,974
15,988
16,002
16,016
16,03
16,044
16,058
16,072
16,086
16,1
16,114
16,128
16,142
